Property_ID,Location,Type,Price,Bedrooms,Bathrooms,Size_sqft,Year_Built,Sold,Date_Added,Agent_ID,Listing_Type,HOA_Fee,Parking_Spaces,Garage,Pool,Lot_Size_acres,Days_on_Market
PROP00001,Chicago,House,327539.0,2.0,3.0,1572.0,1959,0,2024-05-13,AGT0007,For Rent,0.0,2,0,0,0.05,171
PROP00002,Miami,House,391371.0,5.0,3.0,2197.0,1970,0,2025-05-14,AGT0053,For Rent,300.0,2,1,0,0.58,214
PROP00003,Los Angeles,Condo,318609.0,3.0,3.0,1630.0,2019,1,2025-04-01,AGT0075,For Rent,149.14180089780828,1,0,0,0.11,180
PROP00004,Miami,Apartment,429625.0,1.0,3.0,1233.0,1983,0,2023-11-17,AGT0114,For Rent,149.14180089780828,1,1,1,0.49,76
PROP00005,Miami,Condo,3016324.057,1.0,0.0,7467.705263,1961,0,2025-04-24,AGT0063,For Sale,300.0,0,1,1,0.6,78
PROP00006,San Francisco,Apartment,315932.45225239446,5.0,1.0,1429.0,2004,0,2024-01-04,AGT0188,For Sale,300.0,3,1,1,0.0,28
PROP00007,Los Angeles,Apartment,445192.0,2.0,2.0,1521.0,2017,0,2023-07-19,AGT0169,For Rent,200.0,0,1,1,0.31,205
PROP00008,Los Angeles,Condo,205246.0,3.0,2.0,1449.0,1982,0,2025-01-23,AGT0091,For Sale,149.14180089780828,3,0,0,0.33,107
PROP00009,Los Angeles,Apartment,315932.45225239446,5.0,0.0,2145.0,1982,0,2023-12-02,AGT0033,For Sale,100.0,0,1,1,0.0,28
PROP00010,Miami,House,290975.0,2.990842105263158,1.0,1846.0,1963,0,2023-11-19,AGT0008,For Sale,0.0,3,1,1,0.3,58
PROP00011,Chicago,House,417601.0,5.0,2.0,1247.0,1951,0,2025-06-18,AGT0200,For Rent,100.0,1,0,0,0.3,12
PROP00012,Los Angeles,Apartment,413476.0,3.0,1.0,1220.0,1952,0,2024-01-08,AGT0001,For Sale,300.0,2,0,0,0.3,78
PROP00013,Miami,House,343014.0,1.0,1.0,1591.0,2001,0,2023-07-29,AGT0061,For Sale,300.0,1,1,0,0.47,230
PROP00014,San Francisco,Condo,350853.0,2.0,3.0,962.0,1967,1,2025-04-25,AGT0032,For Sale,300.0,1,1,1,0.3,279
PROP00015,Chicago,House,342262.0,3.0,3.0,1389.0,1984,0,2023-06-20,AGT0131,For Sale,300.0,1,1,1,0.38,99
PROP00016,San Francisco,Apartment,98617.0,4.0,2.0,1497.0,2017,0,2025-01-08,AGT0197,For Sale,0.0,0,0,0,0.56,213
PROP00017,Chicago,Condo,311833.0,4.0,2.0,1135.0,1957,0,2024-03-27,AGT0172,For Sale,149.14180089780828,3,0,1,0.47,235
PROP00018,Miami,House,188393.0,3.0,3.0,1384.0,2020,0,2024-01-19,AGT0102,For Sale,0.0,0,0,0,0.09,93
PROP00019,New York,Condo,317118.0,2.990842105263158,2.0,1078.0,1986,0,2023-12-03,AGT0142,For Rent,200.0,0,1,0,0.77,159
PROP00020,Chicago,Apartment,185705.0,1.0,1.9964210526315789,2770.0,1993,1,2024-04-21,AGT0178,For Rent,300.0,1,1,0,0.36,166
PROP00021,San Francisco,House,181504.0,6.0,3.0,2347.0,1975,0,2023-08-06,AGT0024,For Rent,100.0,2,0,0,0.23,159
PROP00022,Miami,Condo,460493.0,5.0,1.0,1351.0,1960,1,2023-06-22,AGT0181,For Sale,149.14180089780828,1,0,1,0.67,174
PROP00023,Chicago,Condo,406944.0,0.0,6.0,995.0,2006,0,2023-08-15,AGT0152,For Sale,0.0,1,0,0,0.5,44
PROP00024,New York,House,299585.0,2.990842105263158,0.0,16.0,2018,0,2024-12-10,AGT0009,For Sale,0.0,3,1,1,0.24,147
PROP00025,New York,Condo,318476.0,3.0,0.0,785.0,1969,0,2024-09-21,AGT0080,For Rent,300.0,2,0,1,0.39,104
PROP00026,Los Angeles,Condo,315932.45225239446,5.0,2.0,1977.0,1963,0,2024-10-29,AGT0044,For Sale,149.14180089780828,3,0,1,0.45,244
PROP00027,Los Angeles,Apartment,356987.0,1.0,3.0,1433.0,1962,0,2025-01-16,AGT0040,For Rent,0.0,0,1,0,0.54,238
PROP00028,San Francisco,Apartment,232394.0,3.0,0.0,1633.0,2003,0,2024-02-01,AGT0143,For Rent,149.14180089780828,1,0,1,0.12,88
PROP00029,Chicago,Apartment,399374.0,5.0,2.0,1784.0,1954,0,2023-07-27,AGT0158,For Sale,0.0,1,1,0,0.65,247
PROP00030,Chicago,Apartment,274691.0,1.0,1.0,1280.0,1964,0,2024-10-20,AGT0170,For Rent,149.14180089780828,0,0,0,0.18,292
PROP00031,Los Angeles,Apartment,258015.0,3.0,3.0,2069.0,1964,0,2023-11-14,AGT0013,For Rent,200.0,3,1,0,0.35,189
PROP00032,Chicago,Apartment,302171.0,2.0,1.0,1754.0,1985,0,2023-10-29,AGT0188,For Rent,200.0,1,1,0,0.11,163
PROP00033,Chicago,House,240885.0,5.0,0.0,1405.0,1966,1,2025-03-06,AGT0108,For Sale,149.14180089780828,3,0,1,0.3,130
PROP00034,New York,Apartment,332868.0,4.0,4.0,1453.0,1962,0,2024-09-28,AGT0021,For Rent,0.0,1,0,1,0.11,232
PROP00035,Los Angeles,Condo,246263.0,1.0,0.0,2059.0,2008,0,2024-03-29,AGT0102,For Sale,0.0,2,0,0,0.3,53
PROP00036,Miami,House,346852.0,6.0,3.0,1901.0,1965,0,2024-03-14,AGT0079,For Rent,200.0,2,0,1,0.52,222
PROP00037,Los Angeles,Condo,421600.0,2.0,1.0,763.0,2009,0,2024-08-17,AGT0129,For Sale,300.0,3,1,1,0.31,252
PROP00038,Miami,Apartment,228067.0,2.0,1.0,2125.0,1965,1,2024-07-20,AGT0058,For Rent,149.14180089780828,3,0,1,0.57,39
PROP00039,New York,Apartment,286942.0,4.0,0.0,1648.0,1999,0,2023-11-23,AGT0144,For Rent,149.14180089780828,1,1,0,0.41,177
PROP00040,San Francisco,Condo,346133.0,2.990842105263158,3.0,1289.0,1998,0,2024-05-25,AGT0121,For Sale,149.14180089780828,0,1,0,0.22,281
PROP00041,Chicago,Condo,256414.0,2.990842105263158,1.0,1055.0,1951,1,2024-07-16,AGT0157,For Sale,100.0,0,1,0,0.57,169
PROP00042,New York,Condo,346432.0,3.0,1.0,1382.0,1957,0,2023-09-23,AGT0087,For Sale,200.0,0,1,1,0.35,6
PROP00043,Chicago,House,355539.0,3.0,2.0,1490.0,2018,0,2024-07-18,AGT0163,For Rent,0.0,3,0,1,0.17,286
PROP00044,San Francisco,Apartment,408326.0,3.0,3.0,1525.0269637152776,2007,0,2024-12-31,AGT0113,For Rent,149.14180089780828,2,0,1,0.34,160
