Property_ID,Location,Type,Price,Bedrooms,Bathrooms,Size_sqft,Year_Built,Sold,Date_Added,Agent_ID,Listing_Type,HOA_Fee,Parking_Spaces,Garage,Pool,Lot_Size_acres,Days_on_Market
PROP00001,Chicago,House,327539,2,3,1572,1959,0,5/13/2024,AGT0007,For Rent,0,2,0,0,0.05,171
PROP00002,Miami,House,391371,5,3,2197,1970,0,5/14/2025,AGT0053,For Rent,300,2,1,0,0.58,214
PROP00003,Los Angeles,Condo,318609,3,3,1630,2019,1,4/1/2025,AGT0075,For Rent,,1,0,0,0.11,180
PROP00004,Miami,Apartment,429625,1,3,1233,1983,0,11/17/2023,AGT0114,For Rent,,1,1,1,0.49,76
PROP00005,Miami,Condo,3016324.057,1,0,7467.705263,1961,0,4/24/2025,AGT0063,For Sale,300,0,1,1,0.6,78
PROP00006,San Francisco,Apartment,,5,1,1429,2004,0,1/4/2024,AGT0188,For Sale,300,3,1,1,0,28
PROP00007,Los Angeles,Apartment,445192,2,2,1521,2017,0,7/19/2023,AGT0169,For Rent,200,0,1,1,0.31,205
PROP00008,Los Angeles,Condo,205246,3,2,1449,1982,0,1/23/2025,AGT0091,For Sale,,3,0,0,0.33,107
PROP00009,Los Angeles,Apartment,,5,0,2145,1982,0,12/2/2023,AGT0033,For Sale,100,0,1,1,0,28
PROP00010,Miami,House,290975,,1,1846,1963,0,11/19/2023,AGT0008,For Sale,0,3,1,1,-0.01,58
PROP00011,Chicago,House,417601,5,2,1247,1951,0,6/18/2025,AGT0200,For Rent,100,1,0,0,-0.07,12
PROP00012,Los Angeles,Apartment,413476,3,1,1220,1952,0,1/8/2024,AGT0001,For Sale,300,2,0,0,-0.03,78
PROP00013,Miami,House,343014,1,1,1591,2001,0,7/29/2023,AGT0061,For Sale,300,1,1,0,0.47,230
PROP00014,San Francisco,Condo,350853,2,3,962,1967,1,4/25/2025,AGT0032,For Sale,300,1,1,1,-0.09,279
PROP00015,Chicago,House,342262,3,3,1389,1984,0,6/20/2023,AGT0131,For Sale,300,1,1,1,0.38,99
PROP00016,San Francisco,Apartment,98617,4,2,1497,2017,0,1/8/2025,AGT0197,For Sale,0,0,0,0,0.56,213
PROP00017,Chicago,Condo,311833,4,2,1135,1957,0,3/27/2024,AGT0172,For Sale,,3,0,1,0.47,235
PROP00018,Miami,House,188393,3,3,1384,2020,0,1/19/2024,AGT0102,For Sale,0,0,0,0,0.09,93
PROP00019,New York,Condo,317118,,2,1078,1986,0,12/3/2023,AGT0142,For Rent,200,0,1,0,0.77,159
PROP00020,Chicago,Apartment,185705,1,,2770,1993,1,4/21/2024,AGT0178,For Rent,300,1,1,0,0.36,166
PROP00021,San Francisco,House,181504,6,3,2347,1975,0,8/6/2023,AGT0024,For Rent,100,2,0,0,0.23,159
PROP00022,Miami,Condo,460493,5,1,1351,1960,1,6/22/2023,AGT0181,For Sale,,1,0,1,0.67,174
PROP00023,Chicago,Condo,406944,0,6,995,2006,0,8/15/2023,AGT0152,For Sale,0,1,0,0,0.5,44
PROP00024,New York,House,299585,,0,16,2018,0,12/10/2024,AGT0009,For Sale,0,3,1,1,0.24,147
PROP00025,New York,Condo,318476,3,0,785,1969,0,9/21/2024,AGT0080,For Rent,300,2,0,1,0.39,104
PROP00026,Los Angeles,Condo,,5,2,1977,1963,0,10/29/2024,AGT0044,For Sale,,3,0,1,0.45,244
PROP00027,Los Angeles,Apartment,356987,1,3,1433,1962,0,1/16/2025,AGT0040,For Rent,0,0,1,0,0.54,238
PROP00028,San Francisco,Apartment,232394,3,0,1633,2003,0,2/1/2024,AGT0143,For Rent,,1,0,1,0.12,88
PROP00029,Chicago,Apartment,399374,5,2,1784,1954,0,7/27/2023,AGT0158,For Sale,0,1,1,0,0.65,247
PROP00030,Chicago,Apartment,274691,1,1,1280,1964,0,10/20/2024,AGT0170,For Rent,,0,0,0,0.18,292
PROP00031,Los Angeles,Apartment,258015,3,3,2069,1964,0,11/14/2023,AGT0013,For Rent,200,3,1,0,0.35,189
PROP00032,Chicago,Apartment,302171,2,1,1754,1985,0,10/29/2023,AGT0188,For Rent,200,1,1,0,0.11,163
PROP00033,Chicago,House,240885,5,0,1405,1966,1,3/6/2025,AGT0108,For Sale,,3,0,1,-0.08,130
PROP00034,New York,Apartment,332868,4,4,1453,1962,0,9/28/2024,AGT0021,For Rent,0,1,0,1,0.11,232
PROP00035,Los Angeles,Condo,246263,1,0,2059,2008,0,3/29/2024,AGT0102,For Sale,0,2,0,0,0.3,53
PROP00036,Miami,House,346852,6,3,1901,1965,0,3/14/2024,AGT0079,For Rent,200,2,0,1,0.52,222
PROP00037,Los Angeles,Condo,421600,2,1,763,2009,0,8/17/2024,AGT0129,For Sale,300,3,1,1,0.31,252
PROP00038,Miami,Apartment,228067,2,1,2125,1965,1,7/20/2024,AGT0058,For Rent,,3,0,1,0.57,39
PROP00039,New York,Apartment,286942,4,0,1648,1999,0,11/23/2023,AGT0144,For Rent,,1,1,0,0.41,177
PROP00040,San Francisco,Condo,346133,,3,1289,1998,0,5/25/2024,AGT0121,For Sale,,0,1,0,0.22,281
PROP00041,Chicago,Condo,256414,,1,1055,1951,1,7/16/2024,AGT0157,For Sale,100,0,1,0,0.57,169
PROP00042,New York,Condo,346432,3,1,1382,1957,0,9/23/2023,AGT0087,For Sale,200,0,1,1,0.35,6
PROP00043,Chicago,House,355539,3,2,1490,2018,0,7/18/2024,AGT0163,For Rent,0,3,0,1,0.17,286
PROP00044,San Francisco,Apartment,408326,3,3,,2007,0,12/31/2024,AGT0113,For Rent,,2,0,1,0.34,160
PROP00045,San Francisco,Condo,239400,4,0,1658,2001,1,8/20/2023,AGT0123,For Sale,300,3,1,1,0.26,296
PROP00046,New York,Apartment,205722,4,2,907,1954,1,11/2/2024,AGT0185,For Rent,0,1,0,1,0.31,33
PROP00047,San Francisco,Condo,269242,3,4,,1972,0,5/3/2024,AGT0112,For Sale,,0,0,1,0.12,269
PROP00048,Miami,Apartment,203224,3,3,1533,1991,0,6/24/2023,AGT0027,For Sale,300,3,1,0,0.5,232
PROP00049,San Francisco,House,356449,4,2,1767,1975,1,5/11/2024,AGT0060,For Rent,,1,1,1,0.08,212
PROP00050,Chicago,Apartment,183824,3,1,1940,2020,0,5/21/2025,AGT0098,For Sale,0,2,0,0,0.27,227
PROP00051,Chicago,Condo,533301,2,2,2091,1951,0,9/3/2023,AGT0107,For Sale,100,0,1,0,0.38,139
PROP00052,Chicago,Apartment,429592,3,3,684,1993,0,3/27/2024,AGT0112,For Sale,,1,0,0,0.15,210
PROP00053,Chicago,House,301257,3,,1612,2016,0,2/9/2024,AGT0058,For Rent,200,3,1,0,0.3,268
PROP00054,Miami,House,386739,2,0,1952,2013,0,10/13/2024,AGT0007,For Sale,100,3,0,0,0.13,296
PROP00055,Los Angeles,Apartment,136319,3,0,1529,2019,0,12/5/2023,AGT0076,For Rent,0,2,0,0,0.05,128
PROP00056,New York,Condo,552337,,2,1469,1967,0,4/11/2024,AGT0176,For Sale,300,1,1,1,0.63,138
PROP00057,Chicago,House,240978,4,6,1744,1982,0,12/17/2024,AGT0040,For Rent,100,2,0,1,0.48,268
PROP00058,San Francisco,House,287950,7,1,2055,1995,1,8/16/2023,AGT0010,For Rent,200,1,1,0,0.3,189
PROP00059,Chicago,Apartment,114406,3,0,1508,2006,0,11/8/2023,AGT0150,For Sale,300,3,1,1,0.47,221
PROP00060,San Francisco,House,348628,4,4,1641,2015,0,12/21/2023,AGT0161,For Sale,200,1,0,0,0.46,137
